,País,Indicador,Definicion_indicador,Código CINE,Nivel CINE,Población,Year,value
0,Argentina,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-02,Educación pre-primaria,Total,2018,0.76
1,Argentina,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-02,Educación pre-primaria,Hombres,2018,
2,Argentina,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-02,Educación pre-primaria,Mujeres,2018,
3,Argentina,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-1,Educación primaria,Total,2018,1.34
4,Argentina,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-1,Educación primaria,Hombres,2018,
5,Argentina,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-1,Educación primaria,Mujeres,2018,
6,Argentina,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-2,Educación secundaria baja,Total,2018,
7,Argentina,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-2,Educación secundaria baja,Hombres,2018,
8,Argentina,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-2,Educación secundaria baja,Mujeres,2018,
9,Argentina,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-3,Educación secundaria alta,Total,2018,3.93
10,Argentina,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-3,Educación secundaria alta,Hombres,2018,
11,Argentina,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-3,Educación secundaria alta,Mujeres,2018,
12,Argentina,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,Total,Total,Total,2018,
13,Argentina,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-3,Educación secundaria alta,Hombres,2018,
14,Argentina,3,Indicador 3 - Proporción de la matricula que corresponde a estudiantes en situación de movilidad,CINE-3,Educación secundaria alta,Mujeres,2018,
15,Argentina,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-1,Educación primaria,Total,2018,
16,Argentina,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-1,Educación primaria,Hombres,2018,
17,Argentina,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-1,Educación primaria,Mujeres,2018,
18,Argentina,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-1,Educación primaria,Urbano,2018,
19,Argentina,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-1,Educación primaria,Rural,2018,
20,Argentina,5,Indicador 5 - Proporción de repetidores entre los estudiantes en situación de movilidad.,CINE-2,Educación secundaria baja,Total,2018,
