País,Variable,Código CINE,Nivel CINE,Grado,Población,Year,value,Definicion_variable
Argentina,𝐼𝑔𝑀,CINE-02,Educación pre-primaria,,Total,2018,13153.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Argentina,𝐼𝑔𝑀,CINE-02,Educación pre-primaria,,Urbano,2018,634.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Argentina,𝐼𝑔𝑀,CINE-02,Educación pre-primaria,,Rural,2018,12519.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,,Total,2018,64031.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,,Urbano,2018,3559.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,,Rural,2018,60472.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Argentina,𝐼𝑔𝑀,CINE-3,Educación secundaria alta,,Total,2018,71949.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Argentina,𝐼𝑔𝑀,CINE-3,Educación secundaria alta,,Urbano,2018,1869.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Argentina,𝐼𝑔𝑀,CINE-3,Educación secundaria alta,,Rural,2018,70080.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Chile,𝐼𝑔𝑀,CINE-02,Educación pre-primaria,,Total,2018,14179.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Chile,𝐼𝑔𝑀,CINE-02,Educación pre-primaria,,Hombres,2018,7588.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Chile,𝐼𝑔𝑀,CINE-02,Educación pre-primaria,,Mujeres,2018,6591.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Chile,𝐼𝑔𝑀,CINE-02,Educación pre-primaria,,Urbano,2018,13474.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Chile,𝐼𝑔𝑀,CINE-02,Educación pre-primaria,,Rural,2018,705.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Chile,𝐼𝑔𝑀,CINE-1,Educación primaria,,Total,2018,57205.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Chile,𝐼𝑔𝑀,CINE-1,Educación primaria,,Hombres,2018,30778.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Chile,𝐼𝑔𝑀,CINE-1,Educación primaria,,Mujeres,2018,26427.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Chile,𝐼𝑔𝑀,CINE-1,Educación primaria,,Urbano,2018,54671.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Chile,𝐼𝑔𝑀,CINE-1,Educación primaria,,Rural,2018,2534.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Chile,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,,Total,2018,17531.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Chile,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,,Hombres,2018,9207.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Chile,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,,Mujeres,2018,8324.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Chile,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,,Urbano,2018,16856.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Chile,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,,Rural,2018,675.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Chile,𝐼𝑔𝑀,CINE-3,Educación secundaria alta,,Total,2018,17831.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Chile,𝐼𝑔𝑀,CINE-3,Educación secundaria alta,,Hombres,2018,8828.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Chile,𝐼𝑔𝑀,CINE-3,Educación secundaria alta,,Mujeres,2018,9003.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Chile,𝐼𝑔𝑀,CINE-3,Educación secundaria alta,,Urbano,2018,17585.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Chile,𝐼𝑔𝑀,CINE-3,Educación secundaria alta,,Rural,2018,246.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Chile,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,,Total,2018,1121.0,Número de matriculados en situación de movilidad al inicio del año escolar que están en condición de repitentes.
Chile,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,,Hombres,2018,733.0,Número de matriculados en situación de movilidad al inicio del año escolar que están en condición de repitentes.
Chile,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,,Mujeres,2018,388.0,Número de matriculados en situación de movilidad al inicio del año escolar que están en condición de repitentes.
Chile,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,,Urbano,2018,1073.0,Número de matriculados en situación de movilidad al inicio del año escolar que están en condición de repitentes.
Chile,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,,Rural,2018,48.0,Número de matriculados en situación de movilidad al inicio del año escolar que están en condición de repitentes.
Chile,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,,Total,2018,357.0,Número de matriculados en situación de movilidad al inicio del año escolar que están en condición de repitentes.
Chile,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,,Hombres,2018,211.0,Número de matriculados en situación de movilidad al inicio del año escolar que están en condición de repitentes.
Chile,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,,Mujeres,2018,146.0,Número de matriculados en situación de movilidad al inicio del año escolar que están en condición de repitentes.
Chile,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,,Urbano,2018,342.0,Número de matriculados en situación de movilidad al inicio del año escolar que están en condición de repitentes.
Chile,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,,Rural,2018,15.0,Número de matriculados en situación de movilidad al inicio del año escolar que están en condición de repitentes.
Chile,𝐼𝑅𝑔𝑀,CINE-3,Educación secundaria alta,,Total,2018,431.0,Número de matriculados en situación de movilidad al inicio del año escolar que están en condición de repitentes.
Chile,𝐼𝑅𝑔𝑀,CINE-3,Educación secundaria alta,,Hombres,2018,266.0,Número de matriculados en situación de movilidad al inicio del año escolar que están en condición de repitentes.
Chile,𝐼𝑅𝑔𝑀,CINE-3,Educación secundaria alta,,Mujeres,2018,165.0,Número de matriculados en situación de movilidad al inicio del año escolar que están en condición de repitentes.
Chile,𝐼𝑅𝑔𝑀,CINE-3,Educación secundaria alta,,Urbano,2018,429.0,Número de matriculados en situación de movilidad al inicio del año escolar que están en condición de repitentes.
Chile,𝐼𝑅𝑔𝑀,CINE-3,Educación secundaria alta,,Rural,2018,2.0,Número de matriculados en situación de movilidad al inicio del año escolar que están en condición de repitentes.
Chile,𝐼𝑅𝑒𝑔𝑀,CINE-02,Educación pre-primaria,,Total,2018,5.0,Matriculados en situación de movilidad con dos o más años de edad por encima de la edad teórica exigida para el grado que cursan.
Chile,𝐼𝑅𝑒𝑔𝑀,CINE-02,Educación pre-primaria,,Hombres,2018,3.0,Matriculados en situación de movilidad con dos o más años de edad por encima de la edad teórica exigida para el grado que cursan.
Chile,𝐼𝑅𝑒𝑔𝑀,CINE-02,Educación pre-primaria,,Mujeres,2018,2.0,Matriculados en situación de movilidad con dos o más años de edad por encima de la edad teórica exigida para el grado que cursan.
Chile,𝐼𝑅𝑒𝑔𝑀,CINE-02,Educación pre-primaria,,Urbano,2018,5.0,Matriculados en situación de movilidad con dos o más años de edad por encima de la edad teórica exigida para el grado que cursan.
Chile,𝐼𝑅𝑒𝑔𝑀,CINE-02,Educación pre-primaria,,Rural,2018,0.0,Matriculados en situación de movilidad con dos o más años de edad por encima de la edad teórica exigida para el grado que cursan.
Chile,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,,Total,2018,2694.0,Matriculados en situación de movilidad con dos o más años de edad por encima de la edad teórica exigida para el grado que cursan.
Chile,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,,Hombres,2018,1698.0,Matriculados en situación de movilidad con dos o más años de edad por encima de la edad teórica exigida para el grado que cursan.
Chile,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,,Mujeres,2018,996.0,Matriculados en situación de movilidad con dos o más años de edad por encima de la edad teórica exigida para el grado que cursan.
Chile,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,,Urbano,2018,2560.0,Matriculados en situación de movilidad con dos o más años de edad por encima de la edad teórica exigida para el grado que cursan.
Chile,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,,Rural,2018,134.0,Matriculados en situación de movilidad con dos o más años de edad por encima de la edad teórica exigida para el grado que cursan.
Chile,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,,Total,2018,1955.0,Matriculados en situación de movilidad con dos o más años de edad por encima de la edad teórica exigida para el grado que cursan.
Chile,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,,Hombres,2018,1212.0,Matriculados en situación de movilidad con dos o más años de edad por encima de la edad teórica exigida para el grado que cursan.
Chile,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,,Mujeres,2018,743.0,Matriculados en situación de movilidad con dos o más años de edad por encima de la edad teórica exigida para el grado que cursan.
Chile,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,,Urbano,2018,1872.0,Matriculados en situación de movilidad con dos o más años de edad por encima de la edad teórica exigida para el grado que cursan.
Chile,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,,Rural,2018,83.0,Matriculados en situación de movilidad con dos o más años de edad por encima de la edad teórica exigida para el grado que cursan.
Chile,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,,Total,2018,3415.0,Estudiantes en situación de movilidad retirados por abandono en el año escolar.
Chile,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,,Hombres,2018,1942.0,Estudiantes en situación de movilidad retirados por abandono en el año escolar.
Chile,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,,Mujeres,2018,1473.0,Estudiantes en situación de movilidad retirados por abandono en el año escolar.
Chile,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,,Urbano,2018,3273.0,Estudiantes en situación de movilidad retirados por abandono en el año escolar.
Chile,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,,Rural,2018,142.0,Estudiantes en situación de movilidad retirados por abandono en el año escolar.
Chile,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,,Total,2018,844.0,Estudiantes en situación de movilidad retirados por abandono en el año escolar.
Chile,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,,Hombres,2018,481.0,Estudiantes en situación de movilidad retirados por abandono en el año escolar.
Chile,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,,Mujeres,2018,363.0,Estudiantes en situación de movilidad retirados por abandono en el año escolar.
Chile,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,,Urbano,2018,816.0,Estudiantes en situación de movilidad retirados por abandono en el año escolar.
