País,Variable,Código CINE,Nivel CINE,Grado,Población,2018,2019,2020,2021,2022,2023
Argentina,𝐼𝑔𝑀,CINE-02,Educación pre-primaria,,Total,13153,13671,12786,11297,9151,
Argentina,𝐼𝑔𝑀,CINE-02,Educación pre-primaria,,Hombres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-02,Educación pre-primaria,,Mujeres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-02,Educación pre-primaria,,Urbano,634,578,482,473,372,
Argentina,𝐼𝑔𝑀,CINE-02,Educación pre-primaria,,Rural,12519,13093,12304,10824,8779,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,1,Total,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,1,Hombres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,1,Mujeres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,1,Urbano,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,1,Rural,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,2,Total,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,2,Hombres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,2,Mujeres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,2,Urbano,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,2,Rural,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,3,Total,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,3,Hombres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,3,Mujeres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,3,Urbano,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,3,Rural,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,4,Total,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,4,Hombres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,4,Mujeres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,4,Urbano,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,4,Rural,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,5,Total,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,5,Hombres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,5,Mujeres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,5,Urbano,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,5,Rural,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,6,Total,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,6,Hombres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,6,Mujeres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,6,Urbano,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,6,Rural,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,7,Total,64031,61145,55805,51284,50252,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,7,Hombres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,7,Mujeres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,7,Urbano,3559,2746,2849,2612,2575,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,7,Rural,60472,58399,52956,48672,47677,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,,Total,64031,61145,55805,51284,50252,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,,Hombres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,,Mujeres,,,,,,
Argentina,𝐼𝑔𝑀,CINE-1,Educación primaria,,Urbano,3559,2746,2849,2612,2575,
